StarID,ProperName,X,Y,Z
569,,225.20255,6.80487,-133.29038
570,,225.21499,6.81116,-133.26903
571,,392.73451,11.88867,309.22202
572,,192.81197,5.83905,-186.1859
573,,188.37266,5.74848,-160.47179
574,,143.21298,4.37108,314.96238
575,,156.76432,4.78589,215.66907
576,,52.56785,1.60815,33.9849
577,,109.6581,3.36627,46.218
578,,2314.59106,71.12679,214.33148
579,,235.93156,7.25248,-80.45102
580,,139.37305,4.30043,16.81378
581,,105.26967,3.25825,201.39655
582,,18.15783,0.56285,226.02849
583,,121.86496,3.79045,-34.61613
584,,198.76826,6.18568,-117.42818
585,,136.47069,4.24912,-58.05811
586,,153.38308,4.77855,-119.5888
587,,165.17068,5.14646,43.73444
588,,61.15226,1.90868,197.34512
589,,250.06447,7.82547,174.23301
590,,169.91493,5.32767,180.75804
591,,4120464.49632,129310.22775,9110710.79551
592,,237.14819,7.46278,25.7934
593,,76.60255,2.41105,-133.12481
594,,146.14254,4.60098,-59.15684
595,,19.24586,0.60663,-81.65292
596,,68.25431,2.15346,226.32896
597,,264.36834,8.35547,99.18587
598,,43.30963,1.37186,-38.86481
599,,403.35713,12.81216,-209.16605
600,,51.90886,1.65454,19.90029
601,,152.8563,4.8735,-47.88858
602,,168.73446,5.38118,22.83611
603,,121.39334,3.88116,3.53064
604,,190.50252,6.12607,-291.67817
605,,43.78062,1.40903,-20.75843
606,,95.50192,3.07411,47.53794
607,,645.39923,20.79458,-125.90827
608,,136.16426,4.39048,-27.99706
609,,105.44224,3.41551,-90.03842
610,,98.82428,3.20569,-445.78719
611,,74.39801,2.425,-110.40615
612,,585.42152,19.13331,182.46654
613,,336.58938,11.04887,242.40225
614,,166.19711,5.45635,75.15542
615,,29.72468,0.97814,-13.12899
616,,84.07809,2.76953,52.58424
617,,55.30486,1.82942,-98.37145
618,,140.59976,4.65574,86.77883
619,,185.74118,6.16952,-354.20636
620,,27.28981,0.90683,-394.31266
621,,85.90044,2.85841,-86.30664
622,,220.67148,7.34318,290.60029
623,,61.06079,2.03192,82.64463
624,,142.4095,4.7416,119.89512
625,,75.34099,2.50996,63.58621
626,,164.78671,5.50381,-386.46636
627,,345.76409,11.57106,6.60804
628,,297.26838,9.952,-41.38518
629,,81.0362,2.71483,65.74048
630,,51.98815,1.74323,-116.46225
631,,347.04037,11.63825,-519.66578
632,,163.27782,5.49505,-172.42538
633,,110.74149,3.73092,84.06081
634,,149.24392,5.03889,-6.64698
635,,74.15988,2.51874,-30.7486
636,,230.82219,7.85551,-22.18151
637,,209.54841,7.13648,83.63136
638,,138.89883,4.73308,-27.33985
639,,135.37065,4.63843,108.60059
640,,25.88021,0.88844,37.78684
641,,86.2184,2.96758,-7.32748
642,,133.01682,4.59371,-120.48899
643,,178.69806,6.17398,-222.84868
644,,124.35717,4.33526,-31.54805
645,,174.51661,6.08557,-836.67225
646,,260.088,9.07004,-88.01103
647,,92.93977,3.24723,-12.31715
648,,22.07351,0.77139,-109.52702
649,,226.34721,7.91673,129.9065
650,,119.73686,4.18823,-99.15806
651,,104.16445,3.65064,63.59936
652,,129.71771,4.54767,-75.03432
653,,160.62779,5.63316,-162.88492
654,,83.1425,2.92469,-55.12613
655,,60.41859,2.13018,82.59193
656,,222.07441,7.83611,-125.29405
657,,289.44265,10.23,24.96867
658,,174.12258,6.20179,106.26465
659,,98.99691,3.52915,290.31323
660,,212.29974,7.59487,-354.43546
661,,159.12349,5.69509,-125.66322
662,,177.54479,6.35472,-489.59659
663,,307.21475,10.99866,-13.14074
664,,96.0351,3.44565,-91.66128
665,,113.74693,4.08497,-134.31598
666,,212.69418,7.63912,121.55606
667,,213.88748,7.69746,194.22645
668,,26.70216,0.96428,-7.07182
669,,219.63595,7.94087,151.0235
670,,100.87,3.65137,-15.66907
671,,240.27134,8.71611,-154.35789
672,,94.63623,3.44982,-88.13438
673,,351.24365,12.83168,21.13237
674,,86.64097,3.16794,34.89546
675,,246.37232,9.0186,-85.96965
676,Alpheratz,25.99003,0.95143,14.4701
677,,293.15202,10.75512,352.65594
678,,193.36258,7.10187,-300.18576
679,,410.16319,15.07919,-514.16364
680,,39.46987,1.45216,4.58165
681,,258.03186,9.49996,232.14775
682,,311.09932,11.46338,-303.51559
683,,915.71528,33.7707,-1235.79486
684,,154.71165,5.70784,-89.63074
685,,20.89095,0.77111,6.56108
686,,120.03378,4.43318,-53.71459
687,,64.40619,2.38223,45.01886
688,,36.17155,1.34156,-83.30231
689,,42.31488,1.57048,54.85876
690,,358.22979,13.31476,-42.69605
691,,98.99029,3.68215,36.57881
692,,426.24906,15.86308,84.23783
693,,207.60412,7.74656,411.34455
694,,393.65368,14.7066,-124.79526
695,,67.62976,2.53555,90.64442
696,,93.92442,3.54514,-333.01051
697,,26.50217,1.00464,19.71609
698,,167.25708,6.36553,-6.49605
699,,42.74146,1.62931,151.30312
700,,120.4528,4.60063,-156.11869
701,,186.70211,7.14333,47.07646
702,,664254.36177,25428.60416,-9977881.51507
703,,163.14194,6.24569,-113.44595
704,,123.60583,4.73716,-288.04276
705,,116.72413,4.47415,-87.20726
706,,3.44773,0.13229,61.47961
707,,79.33808,3.05023,-85.32346
708,,85.2268,3.27869,12.01972
709,,1020.39518,39.28261,-141.64299
710,,160.16209,6.17496,138.55143
711,,103.68789,3.99764,-181.65786
712,,238.21402,9.18592,203.56613
713,,500.86169,19.38114,-239.59111
714,,115.96252,4.48919,55.26038
715,,734.68974,28.4508,8.88614
716,,215.22842,8.34504,-200.28049
717,,3241.04175,125.68872,-2340.90808
718,,292.81913,11.36957,-119.46504
719,,344.7679,13.42831,-169.95225
720,,75.59269,2.95112,17.19353
721,,12.73574,0.49758,29.25201
722,,118.52001,4.64992,-46.02125
723,,816.62782,32.05678,558.91628
724,,42.17308,1.65573,-35.08595
725,,83.66049,3.28669,99.27925
726,,101.76085,3.99936,54.71469
727,,84.97473,3.35313,27.97979
728,,83.90006,3.31078,-115.57673
729,,125.97757,4.97403,-88.58071
730,,39.33773,1.55346,20.62615
731,,94.11966,3.71697,16.35456
